feature,gene_name,gene_biotype
WBGene00200952,C27C12.9,ncRNA
WBGene00202452,C32E12.8,ncRNA
WBGene00195318,C18C4.11,ncRNA
WBGene00196191,C18C4.12,ncRNA
WBGene00003316,C32E12.6,ncRNA
WBGene00201136,C24A8.12,ncRNA
WBGene00197968,ZK1290.19,ncRNA
WBGene00200779,F56A11.12,ncRNA
WBGene00197290,F21H7.17,ncRNA
WBGene00196018,F28F8.11,ncRNA
WBGene00014353,F28F8.t4,tRNA
WBGene00202258,F19D8.8,ncRNA
WBGene00196843,C41G11.9,ncRNA
WBGene00200866,F47E1.14,ncRNA
WBGene00201274,Y95B8A.16,ncRNA
WBGene00200785,C49A9.39,ncRNA
WBGene00196085,R173.6,ncRNA
WBGene00196901,Y51A2D.27,ncRNA
WBGene00197248,K06C4.20,ncRNA
WBGene00195571,T24D8.10,ncRNA
WBGene00199808,F21A3.10,ncRNA
WBGene00004835,sls-2.3,snRNA
WBGene00196827,C17C3.22,ncRNA
WBGene00201116,C16E9.24,ncRNA
WBGene00195755,B0207.13,ncRNA
WBGene00199988,T25B6.10,ncRNA
WBGene00022964,C48C5.t3,tRNA
WBGene00198501,C48C5.6,ncRNA
WBGene00199750,F26D11.17,ncRNA
WBGene00199880,C16E9.20,ncRNA
WBGene00271638,B0280.22,ncRNA
WBGene00197955,VT23B5.1,ncRNA
WBGene00198061,T06D10.7,ncRNA
WBGene00201623,ZK131.14,ncRNA
WBGene00077465,rrn-4.2,rRNA
WBGene00271649,T22A3.13,ncRNA
WBGene00077466,rrn-4.3,rRNA
WBGene00198190,F25H2.16,ncRNA
WBGene00200025,T04C12.26,ncRNA
WBGene00004833,sls-2.1,snRNA
WBGene00199162,ZK131.12,ncRNA
WBGene00196257,T04C12.17,ncRNA
WBGene00201586,T04C12.30,ncRNA
WBGene00200004,ZK131.13,ncRNA
WBGene00200340,F28F9.13,ncRNA
WBGene00196315,Y24D9A.11,ncRNA
WBGene00201366,T01C8.10,ncRNA
WBGene00200244,K06C4.23,ncRNA
WBGene00004512,rrn-1.1,rRNA
WBGene00198814,F31C3.15,ncRNA
