feature,l2f_126v127,l2f_126v382,l2f_127v382,gene_name,gene_biotype,cons_phyloP,pres_phyloP,cons_phastCons,pres_phastCons
WBGene00003296,NA,NA,NA,Y51H4A.27,ncRNA,NA,0,NA,0
WBGene00003297,NA,NA,NA,Y41D4B.25,ncRNA,NA,0,NA,0
WBGene00003316,6.90777615008738,6.15765468049031,-0.768329812937263,C32E12.6,ncRNA,2.87069565217391,23,0.998565217391304,23
WBGene00003317,NA,-1.47527105571382,0.651955664616547,C32C4.4,ncRNA,1.86448,25,0.99952,25
WBGene00006650,0.829707570778657,-0.849991995540844,-1.78001446575185,tts-1,ncRNA,NA,0,NA,0
WBGene00006651,-0.274745469962489,0.986514966052815,1.17179069396484,tts-2,ncRNA,0.499845388788427,1106,0.609337251356239,1106
WBGene00006967,0.0889321124063354,-0.00577825804609315,-0.186327004760727,yrn-1,ncRNA,0.331704761904762,105,0.757380952380952,105
WBGene00012284,2.41023366446823,-0.803400310793644,-3.32619897968517,W05H5.2,ncRNA,NA,0,NA,0
WBGene00012839,-4.28958592958738,0.357565885276242,4.55513128061221,Y43F8C.18,ncRNA,NA,0,NA,0
WBGene00013640,-0.312746236732012,0.818261886118071,0.986160721450443,Y105C5A.17,ncRNA,0.50507969151671,389,0.779066838046273,389
WBGene00014492,-0.0328035078651391,0.439316261128348,0.371935296637089,R166.6,ncRNA,0.880683417085427,1791,0.710170854271357,1791
WBGene00014505,-2.91451371794359,0.0349631750559016,2.8779892266848,T05E11.9,ncRNA,NA,0,NA,0
WBGene00014836,0.897376807443191,-1.28306057127623,-2.27691119221244,T09F5.12,ncRNA,NA,0,NA,0
WBGene00015058,0.113994500931981,0.782451143586809,0.565532437428073,B0222.10,ncRNA,0.790333333333333,3,0.583333333333333,3
WBGene00019193,-0.605695710704818,-0.732367906327064,-0.21499634407659,H12I13.5,ncRNA,NA,0,NA,0
WBGene00020944,-0.122403095590328,0.0884086112845707,0.0730723577199705,W02D7.9,ncRNA,NA,0,NA,0
WBGene00021013,-1.0108204848812,3.4255704074581,4.33433903979083,W03G1.8,ncRNA,NA,0,NA,0
WBGene00021050,-1.86476365366255,0.345321334901042,2.14374273170768,W05H9.3,ncRNA,1.27825,1512,0.879654761904762,1512
WBGene00021100,2.50612654621703,2.44809950689201,-0.219710140529788,W08F4.11,ncRNA,NA,0,NA,0
WBGene00021990,-2.81205629552772,-0.279626199989673,2.48579208301858,Y59E1B.1,ncRNA,NA,0,NA,0
WBGene00022308,2.27748671289731,5.31279478454253,2.88360430591557,Y77E11A.3,ncRNA,NA,0,NA,0
WBGene00022904,0.636924784157191,0.832765786417079,0.10781526547341,C01B12.9,ncRNA,NA,0,NA,0
WBGene00022910,-1.89158985762117,0.467097255358131,2.28464525896816,C05D2.11,ncRNA,NA,0,NA,0
WBGene00022918,1.36388060001403,3.61835087865138,NA,C09B7.3,ncRNA,NA,0,NA,0
WBGene00022919,0.982900269584419,3.25116749753046,NA,C09B7.4,ncRNA,0.838217391304348,69,0.794405797101449,69
WBGene00022922,-0.935146619967971,-0.0223274479035946,0.863126938534939,C12D12.7,ncRNA,1.05498525798526,407,0.854589680589681,407
WBGene00022926,-5.00166228676041,NA,4.89255336081734,C16B8.5,ncRNA,0.190881215469613,362,0.170201657458564,362
WBGene00022940,NA,NA,NA,C23H5.10,ncRNA,NA,0,NA,0
WBGene00022951,0.965974577183451,1.41167417431026,0.333578405337291,C30E1.9,ncRNA,0.426995428973277,5688,0.500349507735584,5688
WBGene00022970,-0.939982215246772,-0.81327586384181,0.0187013128163796,CD4.10,ncRNA,NA,0,NA,0
WBGene00022982,0.0889321124063354,2.37939974872805,NA,F09E10.10,ncRNA,NA,0,NA,0
